,Name,Market Cap (GBP$ Billion)
0,JPMorgan Chase,286.31944423702726
1,Industrial and Commercial Bank of China,252.83418843805123
2,Bank of America,238.27191063728483
3,Wells Fargo,225.5882347858704
4,China Construction Bank,188.51862111549923
5,HSBC Holdings PLC,160.59300172881603
6,Agricultural Bank of China,148.85558463707522
7,Citigroup Inc.,148.797725161832
8,Bank of China,132.90760902415522
9,China Merchants Bank,89.80376476481281
10,Royal Bank of Canada,89.76568004693121
11,Banco Santander,84.7355676928768
12,Commonwealth Bank,82.19487757112161
13,Mitsubishi UFJ Financial Group,81.77960766652801
14,Toronto-Dominion Bank,79.4278763373392
15,BNP Paribas,75.6259961349664
16,Goldman Sachs,73.756182966664
17,Sberbank of Russia,73.122658332672
18,Morgan Stanley,72.9842350311408
19,U.S. Bancorp,69.25412987400641
20,HDFC Bank,64.76965434344801
21,Itaú Unibanco,63.13494106822241
22,Westpac,61.931610462848006
23,Scotiabank,57.820658126897605
24,ING Group,57.80088336953601
25,UBS,55.282897598825606
26,Charles Schwab,54.384244736504
27,PNC Financial Services,52.9128563091168
28,Lloyds Banking Group,52.185584677262405
29,Sumitomo Mitsui Financial Group,49.31092087562241
30,Bank of Communications,49.12782127042241
31,Australia and New Zealand Banking Group,48.6664102653184
32,Banco Bradesco,47.47113604257281
33,National Australia Bank,46.7226248565152
34,Intesa Sanpaolo,45.4321388390656
35,Banco Bilbao Vizcaya Argentaria,44.4404713773024
36,Japan Post Bank,44.328414418920005
37,The Bank of New York Mellon,43.814270727518405
38,Shanghai Pudong Development Bank,43.0620975493568
39,Industrial Bank (China),42.0308805728704
40,Bank of China (Hong Kong),40.610760034939204
41,Bank of Montreal,38.9496804165648
42,Crédit Agricole,38.1879860589328
43,DBS Bank,37.70020871068
44,Nordea,37.487813168648
45,Capital One,37.4306860918256
46,NatWest Group,36.978796266192006
47,Mizuho Financial Group,36.633104211574405
48,Credit Suisse,35.493492268809604
49,Postal Savings Bank of China,35.1170394805184
50,China Minsheng Bank,35.097264723156805
51,UniCredit,34.99179935056161
52,China CITIC Bank,34.75303746538081
53,Hang Seng Bank,33.815567486756805
54,Société Générale,33.727679676260806
55,Barclays,33.580467593680005
56,Canadian Imperial Bank of Commerce,31.8915568353152
57,Bank Central Asia,31.745077151155204
58,Truist Financial,30.704338995198405
59,Oversea-Chinese Banking Corp,30.293463481129603
60,State Bank of India,29.7075447444896
61,State Street,29.126752796795202
62,Deutsche Bank,28.306466565499203
63,KBC Bank,28.1197049681952
64,Danske Bank,27.9944648382384
65,Ping An Bank,27.826013201454405
66,Standard Chartered,27.332376665835206
67,United Overseas Bank,25.727691725862403
68,QNB Group,24.579291002048002
69,Bank Rakyat,24.228472158484806
